32ae36ad54	c7d7d	आफ्ना आमावावुको इच्छा
7676ef99cc	4b9e4	इन्द्र अग्नि हुन्
32afa89ff2	1b37d	उपकुलपति मनोनित भए
0a0a61b427	c46b5	उसको पिछा गरे
0a0f56342e	0cc60	एमएस्सीका लागि
0a0e3d462f	b1066	कमजोर फसलको
0a0e0531e3	9f669	कलाको आधुनिकतम सङ्ग्रह छ
0a0b1fc026	5dae1	कार्य अग्निप्रसाद रिजाल
7677ba79ec	9c1c2	कोरिया भारतवात प्रत्यक्स
000a0be2c6	d0756	जिल्लाको स्थलगत भ्रमन
0a0d8e3258	4a756	तिमी जे गर्छौ
32ae60fa51	7f7ce	त्यसतर्फ जानुपर्ने
0a0e9dccdc	1b29c	दिलाएका थिए
7674caf948	25ff3	नजरवन्दमा पर्नुभएको छ
0a00bc3846	faf1d	निवन्ध संग्रह हो
0a0a8bb028	41d46	पनि दिनानुदिन कमजोर
7674a9aecc	51175	फिल्म निर्मान कम्पनी
7676e2502a	7e781	मुलगाउंमा गरिव किसान
0a0ac54d4a	a2ab6	युरोपमा पनि मुसलमानको
7675ecb7cb	27e93	यो सुर्य दिसाको
0a0b4e0f1e	75f34	यो हो विकास र
7676ed42ef	46a1c	र केही अरु
32af4f2a89	f6e28	रगतमा लतपत हुंदै
07676dc3b4	83eb0	रोगग्रस्त हुन सक्छन्
32b2c1569e	51385	लगाइएको हुन्छ
7674ff18af	02e40	लेखवात यसको
032b1ad91e	f0b26	विसेस रुचि राख्नुहुन्छ
032b07c5f1	93f47	सान्ति थताल
0a0dbff63e	95a0e	सहयात्री पाएको छ
effb1803f0	53027	अधिकतम तापक्रम
8a0fe45efc	deca4	अनुसार आफ्नो वाजेले
8a1a0b9fe8	89bd3	अपराध घोसित गर्यो
8a0db40d9a	06372	उहां पहादी जनजातिको
b0262b2ff7	439c2	एउता पातलो छदजस्तो
b259f59989	6a57a	औजारको रुपमा
8a0a7d2fd2	75f34	कति त वितिसके
fffff812f5	89bd3	कला पधाइसकेका अनुभवी
fffd760bc9	6a6d1	किम महिला साथीहरुसंग
effa2bcd9b	a7d3c	कुनै पर्व वा
fffe93ed54	09eb9	खाल्दो खनी पोखरीको
8a1abe3d11	c06a7	खेलको रुपमा
8a0d9af1e1	fb429	गर्दै छु म
b256d46c57	2273c	ग्रामीन क्सेत्रले धाकेको छ
8a0e707bbd	b33c6	चिहानमा गादिन्छ
fffdc81755	ba807	जल ल्याइ राखेको
effebe8b08	fe533	जसमा जन्म भएको
b258a4ff38	01cf0	जहां रास्त्रिय सभाको
8a0f2db486	58eba	जुन पोथीहरुको दुग्ध
b267a2b47d	29c22	तोकियोलाइ विस्वको
fffc715831	e2039	तथा पुरानो गुद
fffda46dff	c0b4e	त्यस्तै गरी पुर्व
8a0ed0670a	f1193	त्यहांवात सवै दिसामा
8a0a3f6166	12f3b	थियो र त्यस कवितामा
fffd7ed065	62e53	दसकका वेला अस्त्रेलियाली
8a0c55e03d	f45e2	दुइ लाख पन्ध्र हजार
fffc9dc818	b1066	नगरदेखि सुर्खेतको वीरेन्द्रनगरसम्म
8a0fb53ec2	875d4	निजी स्वास्थ संस्था
fffcd3b6df	73b5e	नेपालमा दुरसञ्चार सेवाको
8a1b084b9e	f1193	पथाएको थियो
b255d1b5dc	3534f	पाइन्छन् भने
8a0a4ca78f	8f7f7	प्रधानमन्त्री पदमा कायम
8a1b4a4595	7ef78	प्रवृत्तिका प्रचारका
8a0cf01f34	f45e2	फाइदा गर्दछ
fffd9a7721	4b140	फेरि क्रियासील भएको
fffd0eca9f	5f3e5	वुतवल अधिवेसन पछि
effebfc673	6fa0e	भने अर्का तर्फ
8a0f57b404	d62a4	भन्दा अधिक पुराना छन्
b265de705d	22540	महिनाहरुमा गरिएको
8a01b46c4c	6d3c6	मापन गर्दा
fffff63362	7ef78	यस पर्वमा चोखो
8a1a707e28	297d5	यो देसको सवैभन्दा
b260d7e772	4714f	रहनुका साथै प्रजातन्त्र
ffffc0c531	d0cd7	रिहा गराउनको आमाग
ffff8b1260	e4596	लामो हुन्छ
effc81d146	938ee	वध पस्चात नकुलद्वारा
b263f1d28d	6ee13	विकास समितिमा वोलिन्छ
8a1aa86ed6	551a5	विद्यार्थी सङ्घ मार्फत
fffcb2a354	7b45e	विस्लेसन तथा मुल्याङ्कन
8a0d1d49c2	59e9e	वेखसिम्ले सिम्थली चौवास
effb70a262	db4bc	व्यवस्थित रुपमा
8a0a40b905	95358	सान्त हुनेछ
fffe653c6a	23888	सदक घनत्व भेतिन्छ
8a0e8de76c	648ee	समाजसेवामा उहांको
effcde1590	96e21	संग्रहित गरिएको
b265e85ad2	c57bb	स्थानको लागि पञ्चमार्गी
